,Q2_1,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q9_1
23,5,5.0,5,5,5.0,5.0,5.0,5.0,2.0,1.0,3.0,2.0,3.0,2.0,10.0
24,2,2.0,0,4,0.0,2.0,3.0,1.0,2.0,2.0,4.0,1.0,4.0,3.0,3.0
25,4,4.0,2,5,2.0,2.0,5.0,2.0,1.0,5.0,2.0,2.0,3.0,3.0,10.0
26,5,4.0,4,4,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,8.0
27,5,4.0,5,5,2.0,3.0,5.0,2.0,5.0,5.0,3.0,3.0,3.0,3.0,10.0
28,4,4.0,3,5,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,8.0
29,5,5.0,5,5,4.0,3.0,5.0,2.0,4.0,4.0,2.0,3.0,5.0,4.0,10.0
30,5,5.0,5,5,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,10.0
31,5,5.0,5,5,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,10.0
32,5,5.0,5,5,4.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,8.0
33,4,5.0,3,3,3.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,
34,5,5.0,4,5,4.0,5.0,5.0,3.0,5.0,5.0,3.0,3.0,4.0,5.0,9.0
35,5,5.0,4,3,4.0,5.0,5.0,3.0,1.0,3.0,5.0,3.0,4.0,5.0,8.0
36,3,2.0,3,5,2.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0
37,5,5.0,1,3,5.0,2.0,5.0,3.0,5.0,5.0,5.0,2.0,5.0,5.0,10.0
38,4,3.0,5,5,5.0,4.0,5.0,5.0,1.0,,1.0,1.0,1.0,2.0,7.0
39,5,5.0,5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0
40,5,3.0,4,4,2.0,2.0,5.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,8.0
41,4,5.0,3,4,1.0,1.0,4.0,1.0,4.0,3.0,3.0,2.0,3.0,5.0,10.0
42,4,5.0,4,3,5.0,4.0,5.0,3.0,5.0,4.0,4.0,4.0,4.0,5.0,10.0
43,4,4.0,3,3,2.0,3.0,4.0,2.0,4.0,2.0,2.0,2.0,3.0,4.0,7.0
